"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"148",7,"Tua Tagovailoa",MIA,"QB18","14","4 out of 5 stars","+17"
"149",7,"Austin Hooper",CLE,"TE23","13","2 out of 5 stars","+131"
"150",7,"Jalen Reagor",PHI,"WR58","14","3 out of 5 stars","+84"
"151",7,"Nelson Agholor",NE,"WR59","14","4 out of 5 stars","+32"
"152",7,"Rashaad Penny",SEA,"RB52","9","1 out of 5 stars","0"
"153",7,"Tevin Coleman",NYJ,"RB53","6","4 out of 5 stars","+18"
"154",7,"Sterling Shepard",NYG,"WR60","10","3 out of 5 stars","+26"
"155",7,"Elijah Moore",NYJ,"WR61","6","4 out of 5 stars","-7"
"156",7,"Ryan Fitzpatrick",WAS,"QB19","9","4 out of 5 stars","+28"
"157",7,"Tre'Quan Smith",NO,"WR62","6","4 out of 5 stars","+45"
"158",7,"Rashod Bateman",BAL,"WR63","8","2 out of 5 stars","+18"
"159",7,"Ben Roethlisberger",PIT,"QB20","7","4 out of 5 stars","-6"
"160",8,"Justin Fields",CHI,"QB21","10","2 out of 5 stars","-15"
"161",8,"Daniel Jones",NYG,"QB22","10","4 out of 5 stars","+122"
"162",8,"Anthony Firkser",TEN,"TE24","13","2 out of 5 stars","+25"
"163",8,"Derek Carr",LV,"QB23","8","3 out of 5 stars","+42"
"164",8,"Los Angeles Rams",LAR,"DST1","11","3 out of 5 stars","-68"
"165",8,"Jamison Crowder",NYJ,"WR64","6","4 out of 5 stars","+13"
"166",8,"Pittsburgh Steelers",PIT,"DST2","7","2 out of 5 stars","-68"
"167",8,"Gabriel Davis",BUF,"WR65","7","3 out of 5 stars","+46"
"168",8,"Zach Ertz",PHI,"TE25","14","3 out of 5 stars","-21"
"169",8,"Jakobi Meyers",NE,"WR66","14","4 out of 5 stars","+52"
"170",8,"Eric Ebron",PIT,"TE26","7","5 out of 5 stars","+38"
"171",8,"John Brown",LV,"WR67","8","1 out of 5 stars","+26"
"172",8,"Emmanuel Sanders",BUF,"WR68","7","3 out of 5 stars","+43"
"173",8,"Baltimore Ravens",BAL,"DST3","8","2 out of 5 stars","-58"
"174",8,"Tarik Cohen",CHI,"RB54","10","3 out of 5 stars","0"
"175",8,"Parris Campbell",IND,"WR69","14","5 out of 5 stars","+98"
"176",8,"Rondale Moore",ARI,"WR70","12","2 out of 5 stars","+9"
"177",8,"Washington Football Team",WAS,"DST4","9","2 out of 5 stars","-69"
"178",8,"San Francisco 49ers",SF,"DST5","6","3 out of 5 stars","-44"
"179",8,"Christian Kirk",ARI,"WR71","12","2 out of 5 stars","+30"
"180",8,"Justin Tucker",BAL,"K1","8","4 out of 5 stars","-63"
"181",8,"Tampa Bay Buccaneers",TB,"DST6","9","5 out of 5 stars","-68"
"182",8,"Sam Darnold",CAR,"QB24","13","4 out of 5 stars","+50"
"183",8,"Malcolm Brown",MIA,"RB55","14","4 out of 5 stars","+35"
"184",8,"Harrison Butker",KC,"K2","12","2 out of 5 stars","-62"
"185",8,"Trey Lance",SF,"QB25","6","5 out of 5 stars","-16"
"186",8,"Bryan Edwards",LV,"WR72","8","1 out of 5 stars","+10"
"187",8,"Indianapolis Colts",IND,"DST7","14","2 out of 5 stars","-49"
"188",8,"Younghoe Koo",ATL,"K3","6","3 out of 5 stars","-55"
"189",8,"Breshad Perriman",DET,"WR73","9","1 out of 5 stars","+71"
"190",8,"Marlon Mack",IND,"RB56","14","4 out of 5 stars","-34"
"191",8,"Zach Wilson",NYJ,"QB26","6","3 out of 5 stars","+8"
"192",8,"New England Patriots",NE,"DST8","14","0 out of 5 stars","+3"
"193",8,"Allen Lazard",GB,"WR74","13","1 out of 5 stars","+40"
"194",8,"Darius Slayton",NYG,"WR75","10","3 out of 5 stars","+58"
"195",8,"Greg Zuerlein",DAL,"K4","7","4 out of 5 stars","-40"
"196",8,"Buffalo Bills",BUF,"DST9","7","3 out of 5 stars","-42"
"197",8,"Salvon Ahmed",MIA,"RB57","14","4 out of 5 stars","+33"
"198",8,"Randall Cobb",GB,"WR76","13","1 out of 5 stars","-5"
"199",8,"Darrynton Evans",TEN,"RB58","13","3 out of 5 stars","+40"
"200",8,"Sony Michel",NE,"RB59","14","3 out of 5 stars","+14"
"201",8,"Kenneth Gainwell",PHI,"RB60","14","3 out of 5 stars","0"
"202",8,"New Orleans Saints",NO,"DST10","6","3 out of 5 stars","+83"
"203",8,"A.J. Green",ARI,"WR77","12","2 out of 5 stars","-12"
"204",8,"Kansas City Chiefs",KC,"DST11","12","1 out of 5 stars","-25"
"205",8,"Damien Williams",CHI,"RB61","10","3 out of 5 stars","-30"
"206",8,"Amon-Ra St. Brown",DET,"WR78","9","1 out of 5 stars","-3"
